
Symbol,Last,Net Chng,Bid,Ask
.SU230120P47,16.78,0,11.60,12.00
.SU230120P50,20.98,0,14.60,14.90
.SU230120P60,23.60,0,24.50,24.90
.SU221230P25,.13,0,0,.50
.SU221230P30,.44,+.04,.40,.50
.SU221230P31,.62,+.14,.50,.65
.SU221230P32,.75,+.08,.70,.85
.SU221230P33,1.30,0,.95,1.10
.SU221230P35,1.92,+.57,1.70,1.85
.SU221230P36,2.15,0,2.25,2.35
.SU221230P37,2.50,0,2.80,3.00
.SU221230P40,4.60,0,5.00,5.30
.SU221223P27,.21,0,.10,.20
.SU221223P30,.50,0,.30,.45
.SU221223P31,.42,0,.45,.55
.SU221223P32,.71,+.14,.60,.75
.SU221223P33,1.00,+.10,.85,1.00
.SU221223P34,1.53,+.61,1.15,1.30
.SU221223P35,1.55,+.25,1.60,1.75
.SU221223P36,2.57,+.27,2.10,2.20
.SU221223P37,2.25,0,2.65,2.85
.SU221223P38,3.60,0,3.30,3.60
.SU221216P13,.10,0,0,.05
.SU221216P15,.05,0,0,.05
.SU221216P18,.20,0,0,.05
.SU221216P20,.03,-.02,0,.10
.SU221216P21,.06,0,0,.10
.SU221216P22,.15,0,0,.10
.SU221216P23,.05,0,0,.15
.SU221216P24,.05,-.11,0,.10
.SU221216P25,.07,-.02,.05,.15
.SU221216P26,.10,-.03,.05,.15
.SU221216P27,.10,-.05,.10,.15
.SU221216P28,.20,0,.15,.20
.SU221216P29,.21,+.01,.20,.25
.SU221216P30,.34,+.07,.25,.35
.SU221216P31,.38,+.02,.35,.45
.SU221216P32,.52,+.01,.50,.60
.SU221216P33,.86,-.09,.75,.85
.SU221216P34,1.22,+.09,1.05,1.15
.SU221216P35,1.64,+.14,1.45,1.55
.SU221216P36,2.00,+.05,1.95,2.05
.SU221216P37,2.65,+.80,2.55,2.70
.SU221216P38,2.99,0,3.20,3.40
.SU221216P39,3.85,0,4.00,4.30
.SU221216P40,3.91,0,4.90,5.20
.SU221216P41,7.50,0,5.80,6.10
.SU221216P42,6.50,0,6.70,7.00
.SU221216P45,8.29,0,9.60,9.90
.SU221216P50,13.21,0,14.60,14.90
.SU221216P55,22.70,0,19.40,19.90
.SU221216P60,26.30,0,24.60,24.90
.SU221209P28,.16,0,.05,.15
.SU221209P30,.25,0,.15,.25
.SU221209P31,.35,0,.20,.30
.SU221209P32,.35,0,.35,.45
.SU221209P33,.51,0,.50,.65
.SU221209P34,.91,+.26,.80,.95
.SU221209P35,1.31,+.01,1.20,1.35
.SU221209P36,1.60,0,1.70,1.85
.SU221209P37,2.25,0,2.25,2.50
.SU221202P20,.10,0,0,.05
.SU221202P21,.05,0,0,.10
.SU221202P22,.05,0,0,.10
.SU221202P24,.16,0,0,.10
.SU221202P25,.40,0,0,.10
.SU221202P26,.10,0,0,.10
.SU221202P27,.32,0,0,.15
.SU221202P28,.06,+.03,0,.10
.SU221202P30,.12,0,.05,.15
.SU221202P31,.22,+.05,.10,.25
.SU221202P32,.38,+.20,.20,.30
.SU221202P33,.48,+.03,.35,.45
.SU221202P34,.47,0,.60,.70
.SU221202P35,1.05,+.18,.95,1.10
.SU221202P36,1.64,+.34,1.45,1.60
.SU221202P37,1.70,0,2.10,2.25
.SU221202P38,2.58,0,2.90,3.10
.SU221125P21,.05,0,0,.05
.SU221125P23,.25,0,0,.10
.SU221125P24,.06,0,0,.50
.SU221125P27,.10,0,0,.05
.SU221125P29,.05,0,0,.10
.SU221125P30,.20,0,0,.15
.SU221125P31,.24,0,0,.15
.SU221125P32,.10,0,.05,.10
.SU221125P33,.10,-.10,.05,.15
.SU221125P33.5,.15,-.09,.10,.20
.SU221125P34,.21,-.09,.15,.25
.SU221125P34.5,.30,0,.25,.35
.SU221125P35,.52,+.12,.40,.50
.SU221125P35.5,.55,-.02,.55,.65
.SU221125P36,1.30,+.60,.80,.90
.SU221125P36.5,1.24,+.27,1.10,1.25
.SU221125P37,.90,0,1.45,1.60
.SU221125P37.5,1.09,0,1.90,2.10
.SU221125P38,1.95,0,2.30,2.65
.SU221125P39,2.05,0,3.30,3.50
.SU221125P40,3.00,0,4.30,4.60
.SU221118P18,.15,0,0,.20
.SU221118P20,.05,0,0,.10
.SU221118P21,.10,0,0,.10
.SU221118P22,.05,0,0,.05
.SU221118P23,.07,0,0,.05
.SU221118P24,.01,0,0,.05
.SU221118P25,.04,0,0,.05
.SU221118P26,.09,0,0,.05
.SU221118P27,.03,-.02,0,.05
.SU221118P27.5,.30,0,0,.10
.SU221118P28,.05,0,0,.05
.SU221118P29,.05,0,0,.05
.SU221118P29.5,.25,0,0,.10
.SU221118P30,.05,0,0,.05
.SU221118P30.5,.70,0,0,.10
.SU221118P31,.05,0,0,.05
.SU221118P31.5,.01,-.04,0,.05
.SU221118P32,.05,0,0,.05
.SU221118P32.5,.15,0,0,.05
.SU221118P33,.05,0,0,.05
.SU221118P33.5,.09,0,0,.05
.SU221118P34,.05,0,0,.05
.SU221118P34.5,.05,0,0,.05
.SU221118P35,.03,-.12,0,.05
.SU221118P35.5,.22,+.08,0,.10
.SU221118P36,.34,-.41,.30,.50
.SU221118P36.5,1.00,+.25,.80,1.00
.SU221118P37,2.27,+.72,1.30,1.45
.SU221118P37.5,2.08,+.29,1.80,2.00
.SU221118P38,1.88,0,2.30,2.55
.SU221118P38.5,1.87,0,2.80,2.95
.SU221118P39,3.70,+1.43,3.30,3.50
.SU221118P40,5.94,0,4.30,4.50
.SU221118P44,10.30,0,8.30,8.50
.SU221118P45,11.30,0,9.30,9.50
.STR230421P15,.20,0,0,2.60
.STR230421P17.5,.85,0,0,1.40
.STR230421P20,.48,0,0,1.60
.STR230421P22.5,1.06,0,.75,1.55
.STR230421P25,1.21,0,1.30,2.20
.STR230421P30,3.20,+.20,2.65,3.50
.STR230421P35,5.65,0,5.90,6.70
.STR230421P40,9.60,0,8.80,11.90
.STR230120P20,.45,0,0,.90
.STR230120P22.5,.54,0,0,1.05
.STR230120P25,.60,+.16,.45,.60
.STR230120P30,1.45,0,1.20,2.45
.STR230120P35,4.10,0,4.10,6.50
.STR221216P22.5,.40,0,0,.45
.STR221216P25,.25,+.05,.20,.25
.STR221216P30,.50,-.45,.65,1.30
.STR221118P17.5,.05,0,0,.80
.STR221118P22.5,.30,0,0,.80
.STR221118P25,.05,0,0,.80
.STR221118P30,.10,-.15,0,.35
.STR1230120P7.5,1.35,0,0,.65
.STNG250117P38,11.70,0,6.50,11.00
.STNG250117P40,9.23,0,7.30,11.50
.STNG250117P42,13.00,0,8.30,12.50
.STNG250117P45,12.00,0,9.40,14.00
.STNG250117P47,13.50,0,10.00,15.00
.STNG250117P50,15.30,0,11.50,16.50
.STNG250117P65,25.73,0,20.70,25.50
.STNG240119P3,.15,0,0,.20
.STNG240119P5,.34,0,.05,.30
.STNG240119P8,.35,-.18,.10,.95
.STNG240119P10,1.10,0,.15,.90
.STNG240119P13,.70,0,.25,1.75
.STNG240119P15,1.45,0,.40,1.00
.STNG240119P20,2.30,0,1.15,1.50
.STNG240119P22,1.80,0,1.50,1.95
.STNG240119P25,3.80,0,2.10,2.45
.STNG240119P27,4.10,0,2.50,2.75
.STNG240119P30,3.60,0,3.20,3.40
.STNG240119P32,7.90,0,3.70,4.00
.STNG240119P35,7.50,0,4.50,4.90
.STNG240119P37,7.40,0,5.20,5.70
.STNG240119P40,8.20,0,6.30,6.80
.STNG240119P45,13.60,0,8.40,9.10
.STNG240119P50,11.90,0,10.80,11.20
.STNG240119P55,14.21,0,12.90,14.30
.STNG240119P60,25.20,0,16.50,17.00
.STNG240119P65,23.63,0,19.80,20.20
.STNG240119P75,28.00,0,26.60,27.90
.STNG230421P20,.70,0,.30,.75
.STNG230421P21,.47,0,.30,.65
.STNG230421P22,1.25,0,.35,.85
.STNG230421P23,1.34,0,.40,.90
.STNG230421P24,.65,0,.45,.95
.STNG230421P25,.80,0,.50,.80
.STNG230421P26,2.15,0,.65,.85
.STNG230421P27,.85,0,.75,1.00
.STNG230421P28,1.10,0,.85,1.00
.STNG230421P29,1.10,0,.95,1.10
.STNG230421P30,1.94,0,1.05,1.20
.STNG230421P32,4.10,0,1.30,1.50
.STNG230421P33,1.70,0,1.45,1.65
.STNG230421P35,2.10,0,1.75,2.00
.STNG230421P36,2.60,0,2.05,2.20
.STNG230421P39,3.20,0,2.65,2.95
.STNG230421P40,3.50,0,2.90,3.20
.STNG230421P41,7.00,0,3.10,3.50
.STNG230421P42,4.49,0,3.40,3.80
.STNG230421P43,4.10,0,3.80,4.10
.STNG230421P44,4.24,-.59,4.10,4.50
.STNG230421P45,5.59,0,4.50,4.90
.STNG230421P46,5.60,0,4.90,5.20
.STNG230421P47,5.60,0,5.30,5.60
.STNG230421P48,5.80,-1.50,5.70,6.10
.STNG230421P49,7.90,0,6.20,6.50
.STNG230421P50,8.16,0,6.60,6.90
.STNG230421P55,10.60,0,9.20,9.60
.STNG230421P60,12.50,0,12.30,12.70
.STNG230120P3,.05,0,0,.05
.STNG230120P8,.05,0,0,.50
.STNG230120P10,.14,0,0,.45
.STNG230120P12,.27,0,0,.45
.STNG230120P15,.08,0,0,.75
.STNG230120P17,.55,0,0,.60
.STNG230120P18,.81,0,0,.30
.STNG230120P19,.10,0,0,.30
.STNG230120P20,.10,0,.05,.30
.STNG230120P22,.45,0,.05,.35
.STNG230120P23,.40,0,.05,.35
.STNG230120P24,.85,0,.05,.35
.STNG230120P25,.25,0,.10,.65
.STNG230120P26,1.11,0,.10,.40
.STNG230120P27,1.20,0,.15,.45
.STNG230120P28,.25,0,.15,.50
.STNG230120P29,.29,0,.20,.55
.STNG230120P30,.40,0,.25,.45
.STNG230120P31,1.90,0,.30,.70
.STNG230120P32,.45,0,.35,.50
.STNG230120P33,1.21,0,.40,.55
.STNG230120P34,.60,0,.45,.60
.STNG230120P35,.65,-.05,.50,.65
.STNG230120P36,1.11,0,.60,.80
.STNG230120P37,1.02,0,.70,.90
.STNG230120P38,.90,-.45,.80,1.00
.STNG230120P39,1.27,0,.95,1.10
.STNG230120P40,1.15,-.35,1.05,1.25
.STNG230120P41,1.60,0,1.25,1.40
.STNG230120P42,2.26,0,1.40,1.60
.STNG230120P43,2.20,0,1.60,1.85
.STNG230120P44,2.55,0,1.85,2.05
.STNG230120P45,2.17,-.78,2.15,2.35
.STNG230120P50,3.90,-1.10,3.90,4.20
.STNG230120P55,6.51,-1.09,6.50,6.80
.STNG221216P20,.05,0,0,.35
.STNG221216P25,.05,0,0,.25
.STNG221216P26,.35,0,0,.55
.STNG221216P27,.05,0,0,.55
.STNG221216P28,.20,0,0,.55
.STNG221216P29,.05,-.15,.05,.35
.STNG221216P30,.10,-.02,0,.20
.STNG221216P31,.15,0,0,.25
.STNG221216P32,.20,0,0,.30
.STNG221216P33,.30,0,.05,.60
.STNG221216P34,.20,0,.05,.35
.STNG221216P35,.23,0,.10,.35
.STNG221216P36,.37,0,.10,.45
.STNG221216P37,.30,0,.15,.35
.STNG221216P38,.45,0,.20,.30
.STNG221216P39,.50,0,.25,.35
.STNG221216P40,.39,-.11,.30,.40
.STNG221216P41,1.00,0,.40,.55
.STNG221216P42,.52,-.28,.50,.60
.STNG221216P43,.75,-.37,.60,.75
.STNG221216P44,.81,-.29,.75,.85
.STNG221216P45,1.05,-.44,.95,1.10
.STNG221216P46,1.30,-.38,1.15,1.30
.STNG221216P47,1.70,-.50,1.40,1.55
.STNG221216P48,1.70,-1.15,1.70,1.95
.STNG221216P49,2.10,-1.22,2.05,2.20
.STNG221216P50,2.40,-1.00,2.45,2.60
.STNG221216P55,5.00,-2.00,5.10,5.40
.STNG221216P60,9.00,-2.10,8.90,9.20
.STNG221118P20,.10,0,0,.75
.STNG221118P25,.05,0,0,.75
.STNG221118P26,.13,0,0,.15
.STNG221118P27,.20,0,0,.75
.STNG221118P28,.15,0,0,.75
.STNG221118P29,.15,0,0,.75
.STNG221118P30,.07,0,0,.30
.STNG221118P31,.58,0,0,.75
.STNG221118P32,.28,0,0,.75
.STNG221118P33,.25,0,0,.75
.STNG221118P34,.10,0,0,.75
.STNG221118P35,.03,0,0,.75
.STNG221118P36,.05,0,0,.75
.STNG221118P37,.03,0,0,.75
.STNG221118P38,.05,0,0,.05
.STNG221118P39,.03,0,0,.05
.STNG221118P40,.03,-.02,0,.05
.STNG221118P41,.05,0,0,.05
.STNG221118P42,.05,0,0,.05
.STNG221118P43,.15,0,0,.05
.STNG221118P44,.05,-.25,0,.05
.STNG221118P45,.04,+.03,0,.05
.STNG221118P46,.10,0,0,.10
.STNG221118P47,.02,-.13,0,.15
.STNG221118P48,.29,0,0,.05
.STNG221118P49,.10,-.64,0,.05
.STNG221118P50,.03,-.72,0,.05
.STNG221118P55,3.90,-1.80,2.85,3.60
.STNG221118P60,7.50,0,8.00,8.70
.SOI230519P7.5,.35,-.15,.25,1.50
.SOI230519P10,.80,0,.30,2.20
.SOI230519P12.5,2.00,0,1.45,3.50
.SOI230217P7.5,.28,0,0,.35
.SOI230217P10,.45,0,0,.80
.SOI230217P12.5,1.55,0,1.55,2.10
.SOI221216P10,.11,-.09,.10,.35
.SOI221216P12.5,.71,0,1.10,1.85
.SOI221216P15,3.60,+.60,2.70,4.40
.SOI221118P7.5,.23,0,0,.65
.SOI221118P10,.15,0,0,.15
.SOI221118P12.5,1.05,0,.35,1.45
.SNPTY230120P45,3.80,0,3.20,8.20
.SNPTY221216P40,1.00,0,.30,5.30
.SND230421P2.5,.73,0,.65,.85
.SND230421P5,3.32,0,2.60,3.10
.SND230120P2.5,.65,0,.45,.70
.SND221216P2.5,.35,0,.45,.60
.SND221216P5,2.65,0,2.40,3.10
.SND221118P2.5,.20,0,.35,.55
.SMLP230317P10,.84,0,0,1.80
.SMLP230317P12.5,2.45,0,0,4.60
.SMLP230317P15,3.00,0,.05,4.60
.SMLP230317P17.5,6.00,0,1.00,4.80
.SMLP230317P20,7.60,0,1.85,6.20
.SMLP221216P10,.42,0,0,4.80
.SMLP221216P12.5,.94,0,0,4.80
.SMLP221216P15,.10,0,0,3.00
.SMLP221216P17.5,3.20,0,0,.65
.SMLP221216P22.5,8.70,0,2.15,2.95
.SMLP221118P17.5,1.65,0,0,4.80
.SMLP221118P20,1.00,0,0,2.10
.SMHI230421P7.5,1.25,0,.95,1.45
.SMHI230120P7.5,1.65,0,.55,1.00
.SMHI230120P10,3.40,0,1.60,3.30
.SMHI221118P7.5,.05,-.95,0,.25
.SM250117P35,8.52,0,7.00,11.80
.SM250117P40,13.27,0,9.50,14.50
.SM240119P12.5,1.07,0,0,5.00
.SM240119P15,2.25,0,0,5.00
.SM240119P17.5,1.50,0,.75,1.50
.SM240119P20,1.60,0,1.45,1.95
.SM240119P22.5,3.05,0,2.25,2.45
.SM240119P25,4.14,0,2.35,3.10
.SM240119P30,4.20,0,3.90,4.80
.SM240119P35,6.00,0,6.00,6.70
.SM240119P40,8.24,0,8.60,9.00
.SM240119P45,12.90,0,10.60,11.70
.SM240119P70,29.92,0,28.30,29.30
.SM240119P80,39.75,0,35.90,38.70
.SM230519P20,1.65,0,.30,.90
.SM230519P25,.78,0,.95,1.40
.SM230519P30,2.40,-.10,2.15,2.40
.SM230519P35,3.80,+.20,3.60,3.70
.SM230519P40,6.05,+1.25,5.50,5.80
.SM230519P45,8.70,0,7.90,8.30
.SM230519P50,12.70,0,10.90,11.30
.SM230519P55,16.00,0,14.20,14.90
.SM230519P60,18.42,+1.09,17.80,18.60
.SM230217P22.5,.90,0,0,.75
.SM230217P25,1.04,0,.20,.55
.SM230217P30,1.30,0,.75,1.05
.SM230217P35,2.00,-1.70,1.65,2.00
.SM230217P40,3.13,0,3.20,3.60
.SM230217P45,6.00,0,5.60,5.80
.SM230217P50,8.70,0,8.50,8.90
.SM230217P55,12.00,0,12.10,12.60
.SM230217P65,22.30,0,20.90,21.40
.SM230120P15,.45,0,0,.30
.SM230120P17.5,.62,0,0,.35
.SM230120P20,.25,0,0,.35
.SM230120P22.5,.90,0,0,.45
.SM230120P25,.25,0,0,.55
.SM230120P30,.45,0,.45,.65
.SM230120P35,1.24,0,1.10,1.30
.SM230120P40,2.50,+.37,2.40,2.60
.SM230120P45,4.80,+.60,4.50,4.80
.SM230120P50,6.80,0,7.60,7.90
.SM230120P60,23.70,0,15.70,16.40
.SM221216P22.5,.30,0,0,.30
.SM221216P30,.13,-.20,0,.25
.SM221216P35,.52,+.07,.35,.55
.SM221216P40,1.32,-.18,1.25,1.45
.SM221216P45,3.27,-.13,3.20,3.40
.SM221216P50,6.40,0,6.20,6.80
.SM221216P60,16.00,0,15.20,16.00
.SM221118P17.5,.75,0,0,.30
.SM221118P20,.01,-.04,0,.05
.SM221118P22.5,.10,0,0,.30
.SM221118P25,.03,0,0,.05
.SM221118P30,.05,0,0,.10
.SM221118P35,.01,0,0,.30
.SM221118P40,.05,0,0,.05
.SM221118P45,.55,-.65,.45,.85
.SM221118P50,5.40,0,5.50,5.90
.SLCA250117P8,2.47,0,.50,3.60
.SLCA250117P10,3.10,0,1.05,4.60
.SLCA250117P17,7.20,0,4.20,9.00
.SLCA240119P3,.40,0,0,5.00
.SLCA240119P7,1.30,0,.65,1.05
.SLCA240119P10,1.75,0,1.60,2.15
.SLCA240119P12,2.75,0,2.35,3.10
.SLCA240119P15,4.30,0,4.00,4.80
.SLCA240119P17,6.00,0,5.50,6.00
.SLCA240119P20,8.24,0,7.40,8.50
.SLCA230616P11,1.57,0,1.30,1.75
.SLCA230616P15,3.30,0,3.30,3.90
.SLCA230317P8,.40,0,.15,.50
.SLCA230317P10,.65,0,.55,.85
.SLCA230317P11,1.70,0,.80,1.20
.SLCA230317P12,1.70,0,1.15,1.60
.SLCA230317P13,2.30,0,1.65,2.00
.SLCA230317P15,3.65,0,2.80,3.20
.SLCA230317P18,7.33,0,5.10,5.50
.SLCA230120P3,.05,0,0,.10
.SLCA230120P5,.05,0,0,.30
.SLCA230120P6,.05,0,0,.10
.SLCA230120P7,.22,0,0,.20
.SLCA230120P8,.15,0,.05,.25
.SLCA230120P9,.19,0,.15,.30
.SLCA230120P10,.29,0,.25,.40
.SLCA230120P11,.45,0,.40,.55
.SLCA230120P12,.80,+.02,.70,.85
.SLCA230120P13,1.20,+.10,1.10,1.25
.SLCA230120P14,1.65,0,1.60,1.80
.SLCA230120P15,1.90,0,2.30,2.50
.SLCA230120P17,3.80,0,3.80,4.20
.SLCA230120P18,7.06,0,4.80,5.20
.SLCA230120P20,6.65,0,6.30,7.30
.SLCA221216P5,.05,0,0,.35
.SLCA221216P6,.05,0,0,.10
.SLCA221216P7,.20,0,0,.10
.SLCA221216P8,.30,0,0,.05
.SLCA221216P9,.45,0,0,.15
.SLCA221216P10,.12,0,.05,.20
.SLCA221216P11,.25,+.05,.15,.30
.SLCA221216P12,.40,0,.35,.50
.SLCA221216P13,.80,0,.70,.80
.SLCA221216P14,1.27,+.02,1.25,1.45
.SLCA221216P15,1.95,0,2.00,2.15
.SLCA221216P16,2.25,0,2.80,3.10
.SLCA221216P17,6.30,0,3.50,4.10
.SLCA221216P18,5.60,0,4.70,4.90
.SLCA221118P3,.05,0,0,.25
.SLCA221118P7,.05,0,0,.25
.SLCA221118P8,.05,0,0,.25
.SLCA221118P9,.35,0,0,.25
.SLCA221118P10,.03,0,0,.05
.SLCA221118P11,.15,0,0,.05
.SLCA221118P12,.10,0,0,.10
.SLCA221118P13,.20,0,0,.05
.SLCA221118P14,.72,-.03,.60,.85
.SLCA221118P15,1.25,0,1.60,2.00
.SLCA221118P16,1.95,0,2.40,3.10
.SLCA221118P18,3.50,0,4.50,5.00
.SLB250117P17.5,.90,0,.56,1.27
.SLB250117P20,1.16,+.01,.84,1.57
.SLB250117P22.5,1.60,0,1.10,1.91
.SLB250117P25,2.05,0,1.53,2.29
.SLB250117P27.5,3.20,0,1.95,2.78
.SLB250117P30,3.00,0,2.66,3.30
.SLB250117P32.5,4.30,0,3.20,3.85
.SLB250117P35,4.30,0,4.05,4.55
.SLB250117P37.5,5.47,0,4.80,5.35
.SLB250117P40,6.45,0,5.60,6.20
.SLB250117P42.5,7.00,0,6.45,7.15
.SLB250117P45,7.80,0,7.50,8.10
.SLB250117P47.5,8.80,0,8.40,9.30
.SLB250117P50,9.95,0,9.45,10.60
.SLB250117P55,12.99,+.29,11.80,13.25
.SLB250117P60,15.81,+.28,14.75,16.00
.SLB250117P62.5,16.50,0,16.10,17.70
.SLB250117P65,18.20,0,17.65,19.25
.SLB250117P70,21.55,0,21.25,22.40
.SLB250117P75,25.00,0,24.55,26.40
.SLB240119P15,.32,0,.09,.58
.SLB240119P17.5,.35,0,.14,.71
.SLB240119P20,.55,+.09,.23,.60
.SLB240119P22.5,.75,0,.55,.89
.SLB240119P25,1.01,+.05,.68,1.32
.SLB240119P27.5,1.20,-.05,1.00,1.35
.SLB240119P30,1.55,-.05,1.43,1.75
.SLB240119P32.5,2.12,0,1.90,2.06
.SLB240119P35,2.77,+.02,2.42,2.59
.SLB240119P37.5,3.09,-.31,3.00,3.20
.SLB240119P40,4.05,0,3.70,3.90
.SLB240119P42.5,4.55,0,4.50,4.70
.SLB240119P45,5.76,0,5.40,5.60
.SLB240119P47.5,6.35,0,6.30,6.60
.SLB240119P50,7.55,-.60,7.45,7.70
.SLB240119P52.5,9.20,0,8.65,8.85
.SLB240119P55,10.03,-.82,9.90,10.15
.SLB240119P57.5,12.00,0,11.20,11.65
.SLB240119P60,13.85,0,12.70,13.05
.SLB240119P62.5,14.35,0,14.35,14.60
.SLB240119P65,15.70,0,15.90,16.35
.SLB240119P70,33.20,0,19.50,19.95
.SLB230519P17.5,.31,0,0,.38
.SLB230519P20,.16,0,.01,.50
.SLB230519P22.5,.25,0,.03,.53
.SLB230519P25,.30,0,.25,.48
.SLB230519P27.5,.40,0,.18,.60
.SLB230519P30,.56,-.02,.49,.61
.SLB230519P32.5,.73,0,.70,.80
.SLB230519P35,1.21,+.16,.99,1.09
.SLB230519P37.5,1.42,-.15,1.39,1.44
.SLB230519P40,2.14,0,1.81,1.93
.SLB230519P42.5,2.55,-.17,2.35,2.50
.SLB230519P45,3.31,-.04,3.05,3.15
.SLB230519P47.5,4.45,0,3.85,4.00
.SLB230519P50,5.05,-.24,4.80,4.95
.SLB230519P52.5,6.13,-.37,5.90,6.05
.SLB230519P55,7.80,0,7.15,7.35
.SLB230519P57.5,8.50,0,8.60,8.80
.SLB230519P60,10.15,0,10.15,10.35
.SLB230519P62.5,11.35,0,11.80,12.10
.SLB230519P65,13.20,0,13.60,13.85
.SLB230519P70,18.45,0,17.60,17.95
.SLB230519P75,23.22,0,22.00,22.35
.SLB230519P80,28.41,+1.51,26.70,26.95
.SLB230217P17.5,.03,0,0,.06
.SLB230217P20,.04,0,.01,.04
.SLB230217P22.5,.05,+.01,.03,.06
.SLB230217P25,.07,0,.04,.14
.SLB230217P27.5,.09,0,.08,.17
.SLB230217P30,.19,0,.14,.21
.SLB230217P32.5,.30,0,.23,.29
.SLB230217P35,.40,-.02,.35,.39
.SLB230217P37.5,.65,0,.52,.56
.SLB230217P40,.86,-.08,.76,.82
.SLB230217P42.5,1.11,-.19,1.10,1.17
.SLB230217P45,1.82,-.22,1.57,1.65
.SLB230217P47.5,2.42,-.19,2.19,2.30
.SLB230217P50,3.28,-.19,3.00,3.15
.SLB230217P52.5,4.55,-.25,4.00,4.15
.SLB230217P55,5.60,-.35,5.25,5.35
.SLB230217P57.5,6.90,-.71,6.70,6.90
.SLB230217P60,8.43,-1.37,8.40,8.65
.SLB230217P65,13.00,0,12.30,12.60
.SLB230217P70,16.45,0,16.75,17.10
.SLB230217P75,23.65,0,21.50,21.95
.SLB230120P2.5,.01,0,0,.03
.SLB230120P5,.01,0,0,.04
.SLB230120P7.5,.03,0,0,.04
.SLB230120P10,.01,0,0,.03
.SLB230120P12.5,.01,0,0,.06
.SLB230120P15,.01,0,0,.03
.SLB230120P17.5,.03,0,0,.04
.SLB230120P20,.03,0,.02,.05
.SLB230120P22.5,.05,0,.01,.05
.SLB230120P25,.08,+.03,.05,.09
.SLB230120P27.5,.11,0,.04,.12
.SLB230120P30,.12,0,.07,.15
.SLB230120P32.5,.21,+.01,.12,.33
.SLB230120P35,.26,0,.20,.35
.SLB230120P37.5,.38,-.02,.31,.35
.SLB230120P40,.59,0,.46,.50
.SLB230120P42.5,.70,-.19,.69,.74
.SLB230120P45,1.10,-.29,1.02,1.09
.SLB230120P47.5,1.57,-.50,1.52,1.60
.SLB230120P50,2.30,-.46,2.24,2.30
.SLB230120P52.5,3.26,-.59,3.20,3.30
.SLB230120P55,4.55,-.61,4.40,4.55
.SLB230120P57.5,7.35,0,5.95,6.10
.SLB230120P60,8.25,+1.00,7.70,7.95
.SLB230120P62.5,9.90,0,9.70,9.95
.SLB230120P65,13.65,0,11.90,12.15
.SLB230120P70,17.85,0,16.55,16.95
.SLB230120P75,23.55,0,21.45,21.80
.SLB221230P30,.10,+.03,.02,.10
.SLB221230P41,.33,0,.26,.36
.SLB221230P42,.48,0,.32,.42
.SLB221230P43,.56,-.04,.39,.49
.SLB221230P44,.63,0,.47,.58
.SLB221230P45,.68,-.10,.59,.69
.SLB221230P46,.89,0,.73,.84
.SLB221230P47,1.19,0,.89,1.01
.SLB221230P48,1.07,-.41,1.07,1.21
.SLB221230P49,1.62,0,1.30,1.48
.SLB221230P50,1.70,-.50,1.58,1.76
.SLB221230P51,1.70,0,1.90,2.07
.SLB221230P52,3.05,0,2.26,2.48
.SLB221230P53,3.04,-.26,2.71,2.88
.SLB221230P54,4.10,0,3.15,3.40
.SLB221230P55,4.65,0,3.70,3.95
.SLB221230P56,3.95,0,4.30,4.55
.SLB221230P58,6.47,0,5.65,6.00
.SLB221230P59,7.29,0,6.40,6.70
.SLB221230P63,9.19,0,9.80,10.15
.SLB221223P30,.06,+.01,.02,.08
.SLB221223P40,.20,0,.16,.27
.SLB221223P41,.32,0,.20,.32
.SLB221223P42,.46,0,.25,.37
.SLB221223P43,.46,0,.32,.42
.SLB221223P44,.55,0,.37,.52
.SLB221223P45,.66,0,.49,.60
.SLB221223P46,.66,-.10,.60,.72
.SLB221223P47,.82,0,.75,.87
.SLB221223P48,1.29,0,.92,1.01
.SLB221223P49,1.56,0,1.13,1.27
.SLB221223P50,2.10,0,1.39,1.52
.SLB221223P51,1.70,0,1.70,1.86
.SLB221223P52,2.50,-.39,2.07,2.25
.SLB221223P53,2.64,0,2.50,2.70
.SLB221223P54,2.56,0,2.97,3.20
.SLB221223P55,3.95,-.80,3.50,3.70
.SLB221223P56,5.40,0,4.10,4.35
.SLB221223P58,4.97,0,5.50,5.80
.SLB221223P60,6.71,0,7.10,7.40
.SLB221216P17.5,.02,0,0,.03
.SLB221216P20,.01,0,0,.03
.SLB221216P22.5,.02,0,0,.03
.SLB221216P25,.02,0,0,.03
.SLB221216P27.5,.01,0,.01,.04
.SLB221216P30,.05,0,.02,.04
.SLB221216P32.5,.04,0,.03,.05
.SLB221216P35,.05,-.03,.04,.07
.SLB221216P37.5,.11,+.03,.06,.12
.SLB221216P40,.14,-.05,.11,.16
.SLB221216P42.5,.21,-.11,.21,.23
.SLB221216P45,.38,-.10,.38,.40
.SLB221216P47.5,.70,-.20,.65,.72
.SLB221216P50,1.22,-.37,1.18,1.22
.SLB221216P52.5,2.11,-.29,2.03,2.08
.SLB221216P55,3.35,-.70,3.25,3.45
.SLB221216P57.5,5.85,-.40,4.95,5.15
.SLB221216P60,8.01,0,6.95,7.30
.SLB221216P65,12.00,0,11.60,11.85
.SLB221216P70,33.90,0,16.45,16.85
.SLB221202P25,.01,0,0,.03
.SLB221202P30,.02,0,0,.07
.SLB221202P35,.03,0,.01,.06
.SLB221202P36,.05,0,.01,.07
.SLB221202P37,.11,0,.01,.08
